Model,Original,Color,Context,Drawing,Weather,Texture,Average
alexnet,55.6,37.9,44.1,27.4,40.3,37.1,37.4
squeezenet1.0,58.0,38.8,46.3,26.6,43.8,34.9,38.1
squeezenet1.1,58.5,40.8,45.7,27.0,44.5,37.1,39.0
vgg11,66.2,48.2,53.6,31.5,51.3,46.6,46.2
vgg19,70.0,52.3,55.7,34.6,53.2,47.7,48.7
vggbn,70.2,53.9,58.9,38.2,56.5,50.9,51.7
densenet121,72.1,53.9,62.0,41.9,58.4,51.4,53.5
densenet169,73.6,56.3,63.1,44.3,57.7,52.0,54.7
densenet201,75.2,57.5,63.7,44.7,60.2,52.6,55.7
resnet18,67.9,51.5,56.5,40.7,54.1,46.9,49.9
resnet34,72.1,52.9,59.1,40.7,57.4,50.9,52.2
resnet50,73.3,55.0,60.7,40.0,58.1,50.3,52.8
resnet101,79.5,61.1,69.7,50.0,66.9,61.1,61.8
resnet152,81.4,63.5,70.0,49.8,68.8,62.3,62.9
resnext50,80.1,62.6,67.9,48.6,64.2,60.3,60.7
resnext101,80.1,64.9,70.9,53.2,67.0,61.7,63.5
resnext101_64,81.2,65.7,70.5,52.0,68.2,64.9,64.3
vit_b_16,80.2,61.1,69.3,50.1,67.4,56.6,60.9
vit_b_32,74.1,57.8,64.5,48.3,60.6,55.1,57.3
vit_l_16,78.7,60.9,64.3,47.9,62.0,55.7,58.2
vit_l_32,77.3,60.6,66.0,50.2,62.1,56.6,59.1
convnext_base,82.1,65.7,72.4,50.8,69.3,63.1,64.3
swin_b,82.5,63.7,66.5,47.7,66.9,60.3,61.0
swin_v2_b,82.6,64.5,69.3,47.7,67.9,58.9,61.7
resnet50_stylized,71.5,55.4,62.9,43.6,60.1,51.7,54.7
resnet50_augmix,75.6,57.7,64.5,48.0,62.4,55.1,57.6
